Commit ID,Files
ab16b626973a13c8c50dbb270c9dc785e9845bf6,#('packages/core/src/shape/shapeBase.ts' '/dev/null' 'packages/core/src/item/item.ts' 'packages/site/docs/api/Event.zh.md' 'packages/core/src/item/edge.ts' 'packages/site/docs/api/Event.en.md' 'packages/core/src/types/index.ts' 'packages/core/tests/unit/state/refactor-state-spec.ts' 'packages/core/src/graph/graph.ts' 'packages/pc/tests/unit/state/state-update-spec.ts')
8b79166e75702dce458427d419b870d9f575528e,#('packages/element/package.json' 'packages/plugin/package.json' 'packages/g6/package.json' 'packages/pc/package.json' 'packages/pc/tests/unit/combo-edge-spec.ts')
c25e1b367c8daa804a92d2f54dadf0a846f2fa04,#('tests/unit/plugins/minimap-spec.ts' 'CHANGELOG.md' 'src/plugins/minimap/index.ts')
a0fec0e646fb2fd2e6bfc04a0ca06d1aae78016a,#('src/layout/dagre.ts' 'stories/Issues/component/drag-canvas.tsx' 'package.json' 'docs/manual/introduction.zh.md' 'src/behavior/drag-canvas.ts' 'src/item/item.ts' 'src/behavior/behaviorOption.ts' 'stories/Issues/issues.stories.tsx' 'tests/unit/issues-spec.ts')
0c8d4a39421ab9d19399590fee04df7d0fca3546,#('packages/pc/src/global.ts' 'packages/element/package.json' 'packages/plugin/package.json' 'packages/g6/package.json' 'packages/core/src/global.ts' 'packages/g6/src/index.ts' 'packages/pc/package.json' 'packages/core/package.json' 'packages/site/package.json' 'packages/plugin/src/minimap/index.ts' 'packages/plugin/tests/unit/minimap-spec.ts')
b81a801791ed012a8a9584de771a10d61c8d2e98,#('packages/element/src/nodes/ellipse.ts' 'packages/pc/src/behavior/scroll-canvas.ts' 'packages/site/docs/api/graphLayout/forceAtlas2.zh.md' 'packages/site/docs/manual/FAQ/build-error.en.md' 'packages/site/docs/api/graphLayout/fruchterman.en.md' 'packages/site/docs/manual/FAQ/angular-support.en.md' 'packages/site/docs/manual/FAQ/angular-support.zh.md' 'packages/site/docs/api/graphLayout/guide.zh.md' 'packages/site/docs/manual/FAQ/supportIE.en.md' 'packages/element/src/nodes/circle.ts' 'packages/site/docs/manual/FAQ/build-error-rollup.zh.md' 'packages/site/docs/manual/FAQ/supportIE.zh.md' 'packages/site/examples/case/customFlow/demo/customFlow.js' 'packages/site/docs/manual/FAQ/build-error-rollup.en.md' 'packages/element/src/nodes/star.ts' 'packages/pc/src/behavior/index.ts' 'packages/element/src/nodes/modelRect.ts' 'packages/element/src/nodes/triangle.ts' 'packages/site/docs/manual/middle/layout/graph-layout.en.md' 'CHANGELOG.md' 'packages/site/docs/api/graphLayout/guide.en.md' 'packages/site/docs/manual/middle/layout/graph-layout.zh.md' 'packages/pc/src/behavior/drag-canvas.ts' 'packages/element/src/nodes/diamond.ts' 'packages/site/docs/api/graphLayout/fruchterman.zh.md' 'packages/site/docs/api/graphLayout/gforce.en.md' 'packages/site/docs/manual/FAQ/build-error.zh.md' 'packages/pc/tests/unit/element/nodes/icon-iconfont-spec.ts' 'packages/element/src/nodes/donut.ts' 'packages/core/src/types/index.ts' 'packages/site/docs/api/graphLayout/gforce.zh.md' 'packages/site/docs/api/registerItem.zh.md' 'packages/core/src/graph/graph.ts')
5407845e420a2bb91ab8bccf72cfea7b9fb33104,#('packages/element/package.json' 'packages/pc/tests/unit/drag-combo-spec.ts' 'packages/plugin/package.json' 'packages/core/src/item/item.ts' 'packages/plugin/src/toolBar/index.ts' 'packages/react-node/src/API/rect.en-US.md' 'packages/pc/src/behavior/drag-combo.ts' 'packages/react-node/src/ReactNode/Group.tsx' 'packages/react-node/src/ReactNode/Shape/Text.tsx' 'packages/pc/src/behavior/zoom-canvas.ts' 'packages/site/docs/api/Graph.en.md' 'packages/site/docs/api/Graph.zh.md' 'packages/core/src/graph/controller/view.ts' 'packages/pc/tests/unit/graph/svg-spec.ts' 'packages/core/src/global.ts' 'packages/pc/tests/unit/behavior/shortcuts-call-spec.ts' 'packages/pc/package.json' 'packages/pc/tests/unit/graph/graph-spec.ts' 'packages/core/src/interface/graph.ts' 'packages/core/src/util/graphic.ts' 'packages/react-node/README.md' 'packages/g6/package.json' 'packages/core/tests/unit/graph/svg-spec.ts' 'packages/react-node/docs/index.en-US.md' 'packages/core/package.json' 'packages/site/package.json' 'CHANGELOG.md' 'packages/core/tests/unit/graph/graph-spec.ts' 'packages/react-node/src/ReactNode/Shape/Rect.tsx' 'packages/pc/src/behavior/drag-canvas.ts' 'packages/pc/src/global.ts' 'packages/g6/src/index.ts' 'packages/plugin/src/tooltip/index.ts' 'packages/core/src/util/math.ts' 'packages/react-node/src/API/rect.md' 'packages/pc/src/behavior/drag-node.ts' 'packages/core/src/graph/graph.ts' 'packages/react-node/docs/index.md')
98b92a9a9fd9c9a305c0facaea9e9d7303977e85,#('packages/site/examples/scatter/node/demo/node.js' 'packages/plugin/package.json' 'packages/site/examples/interaction/pagination/demo/dagrePagination.js' 'packages/site/docs/manual/FAQ/upgradeGuide.en.md' 'packages/site/examples/item/customNode/demo/lineChart.js' 'packages/site/docs/manual/FAQ/performance-opt.zh.md' 'packages/core/src/element/combos/circle.ts' 'packages/site/docs/manual/middle/animation.zh.md' 'packages/site/examples/item/customNode/demo/scrollNode.js' 'packages/site/docs/manual/FAQ/faq.zh.md' 'packages/site/examples/case/treeDemos/demo/decisionTree.js' 'packages/site/examples/case/graphDemos/demo/decisionBubbles.js' 'packages/site/docs/manual/middle/elements/combos/custom-combo.en.md' 'packages/site/examples/interaction/createEdge/demo/drag-link-point.js' 'packages/site/examples/item/customNode/demo/cardNode.js' 'packages/site/docs/manual/middle/states/bindEvent.en.md' 'packages/site/examples/tool/tooltip/demo/tooltipLocalCustom.js' 'packages/site/examples/item/customNode/demo/pointChart.js' 'packages/site/examples/case/graphDemos/demo/largeGraph.js' 'packages/site/examples/tree/indented/demo/intendAlignTop.js' 'packages/site/examples/item/customNode/demo/list.js' 'packages/site/examples/item/label/demo/labelLen.js' 'packages/site/docs/manual/middle/elements/edges/custom-edge.zh.md' 'packages/site/examples/item/customNode/demo/areaChart.js' 'packages/core/src/interface/graph.ts' 'packages/site/docs/manual/middle/elements/shape/graphics-group.zh.md' 'packages/site/examples/item/customCombo/demo/cCircle.js' 'packages/site/examples/tree/customItemTree/demo/customEdgeTree.js' 'packages/site/examples/interaction/combo/demo/cCircle.js' 'packages/core/src/element/combo.ts' 'packages/core/src/item/combo.ts' 'packages/site/examples/scatter/stateChange/demo/hover.js' 'packages/site/package.json' 'packages/site/examples/interaction/createEdge/demo/click-link-point.js' 'packages/site/examples/item/customCombo/demo/cRect.js' 'CHANGELOG.md' 'packages/site/docs/manual/cases/edgeBundling.en.md' 'packages/core/src/element/combos/rect.ts' 'packages/site/docs/manual/middle/animation.en.md' 'packages/pc/src/global.ts' 'packages/g6/src/index.ts' 'packages/site/docs/manual/middle/elements/shape/graphics-group.en.md' 'packages/site/examples/case/treeDemos/demo/indentedTree.js' 'packages/site/docs/manual/middle/elements/combos/built-in/rect.en.md' 'packages/site/examples/case/graphDemos/demo/edgeBundling.js' 'packages/site/docs/manual/middle/elements/combos/built-in/rect.zh.md' 'packages/site/docs/manual/middle/elements/edges/custom-edge.en.md' 'packages/site/examples/interaction/partialResponse/demo/partialNode.js' 'packages/core/src/graph/graph.ts' 'packages/element/package.json' 'packages/site/examples/case/others/demo/metroLines.js' 'packages/plugin/src/toolBar/index.ts' 'packages/site/docs/api/shapeProperties.en.md' 'packages/site/examples/item/customNode/demo/stackChart.js' 'packages/site/examples/item/customNode/demo/barChart.js' 'packages/site/examples/case/graphDemos/demo/christmasBubbles.js' 'packages/site/docs/manual/middle/elements/combos/custom-combo.zh.md' 'packages/site/docs/manual/middle/elements/nodes/custom-node.en.md' 'packages/site/docs/manual/middle/states/bindEvent.zh.md' 'packages/site/docs/manual/cases/edgeBundling.zh.md' 'packages/core/src/graph/controller/item.ts' 'packages/site/examples/item/customEdge/demo/customPolyline2.js' 'packages/site/docs/manual/FAQ/faq.en.md' 'packages/core/src/global.ts' 'packages/site/examples/interaction/combo/demo/cRect.js' 'packages/pc/package.json' 'packages/site/examples/item/label/demo/copyLabel.js' 'packages/site/examples/case/graphDemos/demo/customFlow.js' 'packages/site/docs/manual/middle/elements/shape/transform.en.md' 'packages/site/docs/manual/advanced/iconfont.en.md' 'packages/site/examples/tree/compactBox/demo/compactBoxLeftAlign.js' 'packages/site/examples/item/customNode/demo/pieChart.js' 'packages/g6/package.json' 'packages/core/src/item/edge.ts' 'packages/site/examples/item/customNode/demo/card.js' 'packages/site/docs/api/Group.en.md' 'packages/core/package.json' 'packages/site/examples/scatter/edge/demo/pointInLine.js' 'packages/site/examples/case/treeDemos/demo/customFlow.js' 'packages/site/examples/item/customEdge/demo/edgeMulLabel.js' 'packages/site/docs/manual/FAQ/performance-opt.en.md' 'packages/site/examples/interaction/pagination/demo/treePagination.js' 'packages/site/docs/manual/advanced/iconfont.zh.md' 'packages/site/docs/manual/middle/elements/shape/shape-and-properties.en.md' 'packages/site/examples/tree/indented/demo/filesystem.js' 'packages/site/docs/manual/middle/elements/shape/shape-and-properties.zh.md' 'packages/site/examples/tree/customItemTree/demo/customTree.js' 'packages/site/docs/api/graphFunc/combo.zh.md' 'packages/site/docs/api/Group.zh.md' 'packages/site/docs/manual/middle/elements/nodes/custom-node.zh.md' 'packages/site/examples/case/treeDemos/demo/knowledgeTreeGraph.js' 'packages/site/docs/manual/middle/elements/shape/transform.zh.md' 'packages/pc/src/graph/controller/event.ts' 'packages/site/docs/api/shapeProperties.zh.md' 'packages/site/docs/manual/FAQ/upgradeGuide.zh.md' 'packages/site/docs/api/graphFunc/combo.en.md')
4670a751ed25ac986cd03e27d953274a3962fbda,#('src/behavior/drag-node.ts' 'examples/item/multiEdge/demo/multiEdges.js' 'CHANGELOG.md')
ca86f670e9847d01544e64a4edd0d70b099a47ca,#('src/shape/nodes/triangle.ts' 'src/shape/shapeBase.ts' 'src/shape/nodes/ellipse.ts' 'package.json' 'src/behavior/collapse-expand-group.ts' 'src/shape/nodes/diamond.ts' 'src/shape/edges/polyline-util.ts' 'tests/unit/shape/edges/polyline-spec.ts' 'src/shape/nodes/circle.ts' 'src/shape/nodes/star.ts' 'src/types/index.ts' 'src/shape/nodes/modelRect.ts')
fafb3e32982d128dde597d4c22a68fa73bdff8be,#('packages/core/tests/unit/combo-animate-spec.ts' 'CHANGELOG.md' 'packages/core/src/graph/graph.ts')
915297d6317e5efb4c4e7c352399ab8651444589,#('packages/plugin/tests/unit/grid-spec.ts' 'packages/element/package.json' 'packages/plugin/package.json' 'packages/plugin/src/toolBar/index.ts' 'packages/g6/package.json' 'packages/pc/src/graph/graph.ts' 'packages/core/package.json' 'packages/pc/src/graph/controller/layout.ts' 'packages/site/package.json' 'CHANGELOG.md' 'packages/plugin/tests/unit/legend-spec.ts' 'packages/pc/src/global.ts' 'packages/pc/tests/unit/graph/svg-spec.ts' 'packages/plugin/src/legend/index.ts' 'packages/core/src/global.ts' 'packages/g6/src/index.ts' 'packages/pc/package.json' 'packages/core/src/graph/graph.ts')
